"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","Domain","Vocabulary","Ancestors"
"","35789601","OMOP2791062","0.02 ML exenatide 0.25 MG/ML Injectable Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789603","OMOP2791064","0.02 ML exenatide 0.25 MG/ML Injectable Solution Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","2901609","OMOP5118495","0.02 ML exenatide 0.25 MG/ML Injectable Solution Box of 60","Quant Clinical Box","Standard","06/29/2021","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789611","OMOP2791072","0.02 ML exenatide 0.25 MG/ML Injectable Solution [Byetta]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789610","OMOP2791071","0.02 ML exenatide 0.25 MG/ML Injectable Solution [Byetta] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789607","OMOP2791068","0.02 ML exenatide 0.25 MG/ML Injectable Solution [Byetta] Box of 1 by Astrazeneca","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789608","OMOP2791069","0.02 ML exenatide 0.25 MG/ML Injectable Solution [Byetta] Box of 1 by Mawdsley-Brooks","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789616","OMOP2791077","0.02 ML exenatide 0.25 MG/ML Injectable Solution [Byetta] Box of 1 by Waymade","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789605","OMOP2791066","0.02 ML exenatide 0.25 MG/ML Injectable Solution [Byetta] by Astrazeneca","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789609","OMOP2791070","0.02 ML exenatide 0.25 MG/ML Injectable Solution [Byetta] by Mawdsley-Brooks","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789612","OMOP2791073","0.02 ML exenatide 0.25 MG/ML Injectable Solution [Byetta] by Waymade","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","2901606","OMOP5118492","0.02 ML exenatide 0.25 MG/ML Injection","Quant Clinical Drug","Standard","06/29/2021","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","2901605","OMOP5118491","0.02 ML exenatide 0.25 MG/ML Injection Box of 60","Quant Clinical Box","Standard","06/29/2021","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","2901604","OMOP5118490","0.02 ML exenatide 0.25 MG/ML Injection [Byetta]","Quant Branded Drug","Standard","06/29/2021","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","2901603","OMOP5118489","0.02 ML exenatide 0.25 MG/ML Injection [Byetta] Box of 60","Quant Branded Box","Standard","06/29/2021","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","2901608","OMOP5118494","0.02 ML exenatide 0.25 MG/ML Pen Injector","Quant Clinical Drug","Standard","06/29/2021","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","2901607","OMOP5118493","0.02 ML exenatide 0.25 MG/ML Pen Injector [Byetta]","Quant Branded Drug","Standard","06/29/2021","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789613","OMOP2791074","0.02 ML exenatide 0.25 MG/ML Prefilled Syringe","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789600","OMOP2791061","0.02 ML exenatide 0.25 MG/ML Prefilled Syringe Box of 1","Quant Clinical Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789606","OMOP2791067","0.02 ML exenatide 0.25 MG/ML Prefilled Syringe [Byetta]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789604","OMOP2791065","0.02 ML exenatide 0.25 MG/ML Prefilled Syringe [Byetta] Box of 1","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
"","35789614","OMOP2791075","0.02 ML exenatide 0.25 MG/ML Prefilled Syringe [Byetta] Box of 1 by Astrazeneca","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'exenatide'"">1"
